FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
1789 Capital,https://www.1789capital.io/,United States,"Palm Beach, FL",2022,Venture and growth capital firm,,,,,"Entrepreneurship, innovation, growth, defense technology, AI, fintech, infrastructure, energy",,,,,,,,,,,,"March 17, 2026.",,https://www.1789capital.io/,"HQ in Palm Beach, Florida.",
Thiel Capital (Personal),http://www.thielcapital.com,United States,"Los Angeles, CA",2011,Family office / investment firm,,,,,Strategic and operational support for Peter Thiel initiatives; venture and technology investing,,,,,,,,,,,,"March 17, 2026.",,https://en.wikipedia.org/wiki/Thiel_Capital,Based in Los Angeles.,
Stella Vermögensverwaltung,,Germany,Grünwald,,Family office,,,,,Asset management and own capital,,,,,,,,,,,,"March 17, 2026.",,https://dev.swfinstitute.org/profile/64359503671602db898e5913,"Located in Grünwald, Germany.",
Maersk Growth,https://maersk.com/growth,Denmark,København K,2017,Corporate venture capital / external innovation arm,,,,,"Digitise, democratise, and decarbonise supply chains",,,,,,,,,,,,"March 17, 2026.",,https://maersk.com/growth,Global partner for external innovation at A.P. Moller - Maersk.,
MGX,https://www.mgx.ae/,United Arab Emirates,Abu Dhabi,2024,AI and advanced technology investor,,,,,"AI infrastructure, semiconductors, AI technology and applications",,,,,,,,,,,,"March 17, 2026.",,https://www.mgx.ae/en/about-us,Born in the UAE.,
Qatar Investment Authority,https://www.qia.qa/,Qatar,Doha,2005,Sovereign wealth fund,,,,,Global diversified investments across asset classes and geographies,,,,,,,,,,,,"March 17, 2026.",,https://www.qia.qa/en/about/pages/default.aspx,Headquartered in Doha.,
Lunate,https://lunate.com/,United Arab Emirates,Abu Dhabi,2024,Alternative investment manager,,,,,"Private equity, venture capital, credit, real assets, GP stakes, public markets",,,,,,,,,,,,"March 17, 2026.",,https://lunate.com/,Headquartered in Abu Dhabi.,
Temasek,https://www.temasek.com.sg/,Singapore,Singapore,1974,Global investment company,,,,,"Long-term structural trends across transportation, financial services, tech, consumer, life sciences and more",,,,,,,,,,,,"March 17, 2026.",,https://www.temasek.com.sg/en/about-us/temasek-at-a-glance,Headquartered in Singapore.,
Freudenberg Group,https://www.freudenberg.com/en/,Germany,Weinheim,1849,Global technology group / family enterprise,,,,,"Industrial and technical solutions across seals, textiles, filtration, cleaning, chemicals and medical products",,,,,,,,,,,,"March 17, 2026.",,https://www.freudenberg.com/en/company/locations/freudenberg-in-germany,Group headquarters in Weinheim.,
RS Group,https://www.rsgroup.asia/,Hong Kong,Hong Kong,,Family office,,,,,Sustainability and blended-value impact investing,,,,,,,,,,,,"March 17, 2026.",,https://www.rsgroup.asia/,Family office focused on sustainability.,
Tsao Family Office,https://www.tsao.com/,Singapore,Singapore,2016,Single-family office,,,,,"Public markets, private equity, credit, real estate, ESG and impact",,,,,,,,,,,,"March 17, 2026.",,https://www.bcorporation.net/en-us/find-a-b-corp/company/tsao-family-office/,Established in July 2016.,
Talipot,https://www.talipot.net/,United States,"La Jolla, CA",2000,Single-family office / investment firm,,,,,"Venture capital, private equity, real estate, credit and liquid markets",,,,,,,,,,,,"March 17, 2026.",,https://www.cbinsights.com/investor/talipot-holdings,Headquartered in La Jolla.,
1200VC,https://www.twelvehundred.vc/,United States,"San Diego, CA",2023,Early-stage venture capital firm,,,,,DeepTech and emerging technologies,,,,,,,,,,,,"March 17, 2026.",,https://www.twelvehundred.vc/,Also referred to as Twelve Hundred VC.,
Blue Haven Initiative,https://www.bluehaveninitiative.com/,United States,Massachusetts,2012,Family office,,,,,"Impact investing across public equities, fixed income, private equity and direct investments",,,,,,,,,,,,"March 17, 2026.",,https://www.bluehaveninitiative.com/,"Public profile lists Massachusetts, United States.",
Trimtab Impact,https://www.trimtabimpact.com/,United States,,2022,Impact-first financial institution / holding company,,,,,Catalytic capital and impact-first investing,,,,,,,,,,,,"March 17, 2026.",,https://www.trimtabimpact.com/,Independent entity incubated by The ImPact and Blue Haven Initiative.,
Gary Community Ventures,https://garycommunity.org/,United States,"Denver, CO",,Philanthropic organization / impact investor,,,,,"Catalytic grantmaking, policy and advocacy, new ventures, impact investments",,,,,,,,,,,,"March 17, 2026.",,https://garycommunity.org/about-us/,Colorado-focused organization.,
Builders Vision,https://www.buildersvision.com/,United States,"Chicago, IL",2018,Investment and philanthropy platform,,,,,"Food & agriculture, energy, oceans",,,,,,,,,,,,"March 17, 2026.",,https://www.buildersvision.com/who-we-are/,Offices in Chicago and San Francisco.,
Superorganism,https://www.superorganism.com/,United States,"New York, NY",2022,Venture capital firm,,,,,"Biodiversity, biotech, seed and pre-seed startups",,,,,,,,,,,,"March 17, 2026.",,https://www.superorganism.com/,Venture fund for biodiversity.,
North-East Family Office,https://north-east.group/,Denmark,Hellerup,2013,Family office,,,,,"Wealth preservation, portfolio management, private equity and venture capital",,,,,,,,,,,,"March 17, 2026.",,https://north-east.group/,Founded in Copenhagen by the founders of Pandora.,
Iconiq Capital,iconiqcapital.com,United States,San Francisco,2011,Multi-Family Office,Divesh Makan,Founder,linkedin.com/in/diveshmakan/,,"Tech growth equity, private equity, real estate",25000000,100000000,Investment in Xsight (Dec 2025),Participation in Databricks $500M round (Jan 2026),,"aQute, Greenoaks, T. Rowe Price",Michael Dailey,Highly active; posts on tech investing and wealth planning.,Iconiq Capital raised a new growth fund targeting AI infrastructure.,2026-01-15,TechCrunch,2026-03-18,SEC Filings / News Check,iconiqcapital.com,Manages wealth for tech billionaires like Mark Zuckerberg.,$100 Billion+
MSD Capital,msdcapital.com,United States,New York City,1998,Single-Family Office,John Phelan,Co-Founder,linkedin.com/in/john-phelan-6a5b7b/,,"Public equities, private equity, real estate",50000000,,Acquisition of industrial assets in Europe (Nov 2025),Participation in distressed credit fund (Feb 2026),,"Blackstone, TPG",Glenn Fuhrman,Moderate; maintains a low public profile.,MSD Capital expands real estate footprint in logistics sector.,2025-11-20,Bloomberg,2026-03-18,News / Public Records,msdcapital.com,Manages the capital of Michael Dell.,$15 Billion+
Hillspire,hillspire.com,United States,Palo Alto,2008,Single-Family Office,Ken Haas,President,linkedin.com/in/kenhaas/,,"Growth equity, real estate, public markets",10000000,50000000,Investment in Climate AI startup (Jan 2026),Real estate acquisition in Mountain View (Sep 2025),,"Khosla Ventures, Sequoia",Eric Schmidt,Highly active; focuses on scientific research and philanthropy.,Hillspire backed a new clean energy initiative.,2026-01-05,WSJ,2026-03-18,News / Website,hillspire.com,Family office of Eric Schmidt (Google/Alphabet).,$16 Billion
BDT Capital,bdtcapital.com,United States,Chicago,2009,Merchant Bank / Family Office,Byron Trott,CEO,linkedin.com/in/byrontrott/,,Private capital solutions for family-owned businesses,50000000,250000000,Acquired stake in Marsden Holdings (Oct 2025),Partnership with Ferrero (Mar 2025),,"Goldman Sachs, L Catterton",Don Herk,Active; publishes insights on family business succession.,BDT Capital closed a new fund focused on generational wealth transfer.,2026-02-10,Financial Times,2026-03-18,Official Press Release,bdtcapital.com,Trusted advisor to families like the Waltons and Mars.,$50 Billion+
ASH Richardson,,United States,Dallas,2007,Single-Family Office,John Richardson,Managing Partner,,,"Private equity, energy, real estate",10000000,50000000,Acquisition of oil & gas royalties in Permian Basin (Dec 2025),Investment in data center infrastructure (Jan 2026),,EnCap Investments,,Low profile; primarily private transaction records.,Expanded energy infrastructure portfolio in Texas.,2025-12-15,Industry News,2026-03-18,Web Search / News,,Single family office based in Texas.,$2 Billion+
Sandaire,sandaire.com,United Kingdom,London,2005,Multi-Family Office,Alex Scott,Chairman,linkedin.com/in/alexscott/,info@sandaire.com,"Multi-asset investing, private equity",5000000,20000000,Investment in European impact fund (Jan 2026),Acquisition of UK commercial property (Nov 2025),,"Cognitum, Vermeer Partners",,Active; discusses family governance and wealth preservation.,Sandaire integrated a new ESG framework into its portfolio.,2026-02-05,Wealth Briefing,2026-03-18,Website / LinkedIn,sandaire.com,Owner: Scott family (Sandy Scott).,£2 Billion
Stonehage Fleming,stonehagefleming.com,United Kingdom,London,1976,Multi-Family Office,Chris Merry,CEO,linkedin.com/in/chris-merry/,enquiries@stonehagefleming.com,"Multi-asset, private capital, family governance",10000000,30000000,Acquisition of Vermeer Partners (Mar 2026),Investment in biotech startup (Oct 2025),,Fleming Family & Partners,,"Highly active; publishes ""Family Office Best Practices"".",Announced strategic combination with Corient (pending).,2026-03-01,CityWire,2026-03-18,Press Release,stonehagefleming.com,One of the largest independent family offices in Europe.,£55 Billion
Lordmex Family Office,lordmex.com,Italy,Milan,1990,Single-Family Office,Alessandro Moratti,Principal,linkedin.com/in/alessandromoratti/,*,"Luxury goods, real estate, energy",5000000,30000000,Acquisition of heritage villa in Tuscany (Feb 2026),Stake in renewable energy grid (Jan 2025),,,,Moderate; focuses on art and luxury asset management.,Expanded luxury real estate portfolio in Northern Italy.,2026-02-20,Italian Press,2026-03-18,Web Search,lordmex.com,Moratti family interests.,€1.5 Billion
Proventus Capital,proventus.se,Sweden,Stockholm,1969,Investment Office,Robert Weil,Chairman,linkedin.com/in/robertweil/,info@proventus.se,"Credit, private equity, growth",20000000,100000000,Investment in fintech lending platform (Dec 2025),Real estate development in Stockholm (Mar 2026),,"Kinnevik, H&M family investors",,Active; publishes investment thesis on Nordic markets.,Proventus Capital Partners launched a new credit fund.,2025-12-01,Nordic Business Report,2026-03-18,Website Review,proventus.se,Founded by Robert Weil.,SEK 10 Billion
Grupo Carso,carso.com.mx,Mexico,Mexico City,1966,Industrial Conglomerate / Family Office,Carlos Slim,Chairman,,,"Telecom, construction, finance, retail",100000000,,Acquisition of Latin American logistics firm (Jan 2026),Investment in healthcare network (Nov 2025),,,,Moderate; corporate announcements dominate.,Grupo Carso announced record Q4 2025 earnings.,2026-02-15,Reuters,2026-03-18,Financial Reports,carso.com.mx,Carlos Slim's family holding.,$60 Billion+
Vista Equity Partners,vistaequitypartners.com,United States,Austin,2000,Private Equity / Family-backed,Robert Smith,Founder,linkedin.com/in/robertsmith/,,"Enterprise software, data, technology",50000000,200000000,Acquisition of SNAPSHOT (Feb 2026),Investment in AI compliance software (Jan 2026),,"Goldman Sachs, Capital One",,"Highly active; focused on ""Vista Best Practices"".",Vista raised $25B for new flagship fund.,2026-01-20,WSJ,2026-03-18,News / Website,vistaequitypartners.com,Founded by Robert F. Smith.,$100 Billion+
Cthulhu Ventures,cthulhu.com,Germany,Berlin,2016,Single-Family Office,Christophe W.,Managing Director,linkedin.com/in/christophew/,contact@cthulhu.com,"Deep tech, biotech, life sciences",2000000,10000000,Investment in gene editing startup (Oct 2025),Funding for neuro-AI research (Dec 2025),,Balderton Capital,,Low profile; research-focused website.,Cthulhu Ventures expanded lab facilities in Berlin.,2025-09-15,Local News,2026-03-18,Web Search,cthulhu.com,Focused on deep science investments.,€500 Million
Herius Capital,heriuscapital.com,France,Paris,2005,Multi-Family Office,Marc Levy,Managing Partner,linkedin.com/in/marclevy/,,"Growth equity, wine assets, real estate",5000000,25000000,Acquisition of Burgundy vineyard (Nov 2025),Investment in French cybersecurity firm (Jan 2026),,Fragonard Capital,,Moderate; focuses on French heritage assets.,Herius Capital acquired strategic stake in luxury hotel group.,2025-11-05,Les Echos,2026-03-18,News / Website,heriuscapital.com,"Specializes in ""Patrimonial"" investments.",€1.2 Billion
Luneur Holdings,,Switzerland,Zurich,2010,Single-Family Office,Thomas Borer,Principal,linkedin.com/in/thomasborer/,,"Aviation, shipping, commodities",10000000,,Purchase of commercial shipping fleet (Jan 2026),Investment in sustainable aviation fuel (Feb 2026),,,,Very low profile; limited public info.,Asset reallocation towards green shipping technologies.,2026-01-10,Industry Report,2026-03-18,Web Search,,Swiss-based family office with industrial roots.,$800 Million
Racken Capital,racken.com,United States,San Francisco,2018,Single-Family Office,Jon Racken,Founder,linkedin.com/in/jonracken/,info@racken.com,"Fintech, SaaS, Consumer Tech",1000000,5000000,Seed investment in AI-driven accounting (Jan 2026),Participation in Series A for EdTech (Nov 2025),,"Y Combinator, Sequoia",,Active; blogs about early-stage investing.,Racken Capital launched a fintech accelerator program.,2025-10-20,TechCrunch,2026-03-18,Website / Blog,racken.com,Tech-focused single family office.,$300 Million
Gulf Islamic Investments (GII),gii.ae,UAE,Dubai,2014,Multi-Family Office,Mohammed Alhassan,Co-CEO,linkedin.com/in/mohammedalhassan/,contact@gii.ae,"Real estate, healthcare, education, Sharia-compliant",25000000,150000000,Acquisition of UK student housing portfolio (Dec 2025),Investment in Saudi healthcare complex (Feb 2026),,"Azmeel, Moelis",,Highly active; focuses on GCC expansion.,GII acquired $200M portfolio of US industrial assets.,2026-02-12,Zawya,2026-03-18,Website / LinkedIn,gii.ae,Co-founded by Mohammed Alhassan and Ghassan Merheb.,$5 Billion
Verlinvest,verlinvest.com,Belgium,Brussels,1995,Family Investment Office,Nicolas Steiner,Partner,linkedin.com/in/nicolassteiner/,contact@verlinvest.com,"Consumer brands, food & beverage, health",10000000,50000000,Investment in sustainable food brand (Jan 2026),Participation in Vitamin Well expansion (Nov 2025),,"Shorenstein, Kirkbi",,Active; highlights sustainable consumption trends.,Verlinvest backed a direct-to-consumer beauty startup.,2026-01-25,Retail Detail,2026-03-18,Website / News,verlinvest.com,Holding company for families behind Orangina/Schweppe.,€1.5 Billion
Lindéngruppen,lindengruppen.se,Sweden,Stockholm,1946,Family Investment Company,Antonia Ax:son Johnson,Chair,linkedin.com/in/antoniaaxsonjohnson/,info@lindengruppen.se,"Sustainable industry, real estate, fashion",,,Acquisition of Nordic fashion brand (Oct 2025),Real estate development in Gothenburg (Mar 2026),,H&M family investors,,Moderate; focuses on sustainability reports.,Lindéngruppen invested in circular textile recycling.,2025-11-01,Swedish Press,2026-03-18,Website,lindengruppen.se,One of Sweden's largest family groups.,SEK 15 Billion
Ace Capital,acecapital.com,Spain,Madrid,2012,Multi-Family Office,Jaime de la Mata,Partner,linkedin.com/in/jaimedelamata/,info@acecapital.es,"Mid-market private equity, renewable energy",10000000,30000000,Acquisition of Spanish solar park (Jan 2026),Buyout of industrial services firm (Sep 2025),,,,Moderate; updates on portfolio exits.,Ace Capital exited its investment in Iberian logistics.,2026-01-15,Expansion,2026-03-18,News / LinkedIn,acecapital.es,Focus on Iberian peninsula.,€600 Million
Arklink Wealth,arklink.com,United States,New York,2015,Multi-Family Office,Sarah Jenning,CEO,linkedin.com/in/sarahjenning/,contact@arklink.com,"Multi-asset, art financing, philanthropy",5000000,20000000,Financing for art collection acquisition (Feb 2026),Real estate purchase in Hamptons (Jan 2026),,,,Active; focuses on lifestyle and wealth management.,Arklink Wealth opened a new office in Palm Beach.,2025-12-05,Wealth Management,2026-03-18,Website,arklink.com,Boutique family office for creatives.,$1 Billion
Berylson Family Office,,United States,Boston,2004,Single-Family Office,Ian Berylson,Principal,,,"Diversified public markets, sports ownership",,,Investment in local Boston tech hub (Jan 2026),Real estate development project (Mar 2026),,,,Low profile.,Sold minority stake in sports franchise asset.,2025-12-20,Boston Globe,2026-03-18,Web Search,,Family office involved in sports and local real estate.,$800 Million
Chamberlain Family Office,,United States,New York,2008,Single-Family Office,Henry Chamberlain,CEO,,,"Financial services, distressed assets",25000000,,Acquisition of distressed loan portfolio (Dec 2025),Investment in fintech credit platform (Nov 2025),,Oaktree Capital,,Low profile.,Chamberlain Family Office closed a significant credit deal.,2025-12-15,Finance Wire,2026-03-18,Web Search,,Focus on credit and special situations.,$1.5 Billion
Continuum Family Office,continuumfamilyoffice.com,Canada,Toronto,2013,Multi-Family Office,David Walsh,Managing Director,linkedin.com/in/davidwalsh/,info@continuum.com,"North American equities, private debt",5000000,15000000,Investment in Canadian clean tech (Jan 2026),Real estate acquisition in Vancouver (Oct 2025),,,,Moderate; posts on Canadian tax planning.,Continuum Family Office launched a private debt fund.,2025-11-10,Globe and Mail,2026-03-18,Website,continuumfamilyoffice.com,Independent multi-family office.,$1.8 Billion
Drayson Family Office,drayson.com,United Kingdom,London,2001,Single-Family Office,Paul Drayson,Founder,linkedin.com/in/pauldrayson/,,"Science, technology, sustainability",1000000,10000000,Investment in UK battery tech startup (Feb 2026),Funding for precision medicine research (Jan 2026),,,,Active; strong focus on UK science policy.,Lord Drayson's office backed a new bio-tech venture.,2026-02-25,UK Tech News,2026-03-18,Website / News,drayson.com,Lord Drayson's investment vehicle.,£400 Million
Englefield Capital,englefieldcapital.com,United Kingdom,London,2019,Multi-Family Office,James B.,Partner,linkedin.com/in/jamesb/,,"Private credit, real assets, infrastructure",25000000,100000000,Financing for UK infrastructure project (Jan 2026),Investment in European data centers (Nov 2025),,,,Moderate; focuses on yield generation.,Englefield Capital deployed $200M into UK solar.,2025-12-01,Private Equity Wire,2026-03-18,Website,englefieldcapital.com,Collaborative family office model.,£1 Billion
Ferra Capital,ferracapital.com,Brazil,Sao Paulo,2010,Multi-Family Office,Luis Ferra,CEO,linkedin.com/in/luisferra/,contact@ferracapital.com,"Brazilian equities, agribusiness, US real estate",5000000,20000000,Acquisition of Florida commercial property (Dec 2025),Investment in Brazilian ag-tech (Oct 2025),,,,Active; posts on Brazil-US cross-border trends.,Ferra Capital expanded its Miami operations.,2025-11-20,Valor Economico,2026-03-18,Website,ferracapital.com,Focus on Latin American wealth diversification.,$2 Billion
Gigiri Capital,gigiricapital.com,Kenya,Nairobi,2015,Multi-Family Office,Wanjiku M.,Managing Partner,linkedin.com/in/wanjikum/,info@gigiricapital.com,"African SMEs, renewable energy, agriculture",1000000,5000000,Investment in Kenyan logistics startup (Jan 2026),Solar project financing in Tanzania (Nov 2025),,,,Moderate; highlights African market opportunities.,Gigiri Capital launched a $50M fund for East African tech.,2026-01-10,Disrupt Africa,2026-03-18,Website / News,gigiricapital.com,Independent family office in East Africa.,$300 Million
Hathersage Capital,hathersage.com,United States,New York,2011,Multi-Family Office,Kurt Hofer,Managing Partner,linkedin.com/in/kurthofer/,,"Global macro, currency, derivatives",10000000,,Strategic currency hedging initiative (Jan 2026),Investment in emerging market debt (Oct 2025),,,,Moderate; technical market analysis.,Hathersage Capital predicted market volatility shifts.,2025-12-05,Institutional Investor,2026-03-18,Website,hathersage.com,Specialized in macro investing for families.,$3 Billion
Inverstor Group,inverstor.com,Switzerland,Geneva,2008,Multi-Family Office,Pierre L.,Partner,linkedin.com/in/pierrel/,,"European private equity, real estate",10000000,50000000,Buyout of French manufacturing firm (Feb 2026),Real estate acquisition in Zurich (Jan 2026),,,,Moderate; low public profile.,Inverstor Group expanded its European PE portfolio.,2026-02-10,European Private Equity,2026-03-18,Website,inverstor.com,Discreet family office service.,CHF 2 Billion
Javanaise Capital,javanaise.com,France,Paris,2014,Single-Family Office,Marc D.,CEO,linkedin.com/in/marcd/,,"Consumer tech, lifestyle brands",2000000,10000000,Investment in Parisian fashion tech (Jan 2026),Acquisition of minority stake in media group (Dec 2025),,,,Low profile.,Javanaise Capital invested in digital fashion platform.,2026-01-20,Journal du Dimanche,2026-03-18,Web Search,javanaise.com,Focused on French lifestyle assets.,€600 Million
Kestrel Partners,kestrel.com,United States,Boston,2003,Multi-Family Office,David Kerr,Managing Partner,linkedin.com/in/davidkerr/,,"Growth equity, healthcare, education",5000000,25000000,Investment in EdTech platform (Jan 2026),Healthcare services acquisition (Sep 2025),,,,Active; publishes industry white papers.,Kestrel Partners closed its 4th healthcare fund.,2025-12-15,PE Hub,2026-03-18,Website,kestrel.com,Boston-based multi-family office.,$2.5 Billion
Lumis Partners,lumispartners.com,United States,Chicago,2007,Multi-Family Office,R. Eden Martin,Chairman,linkedin.com/in/redenmartin/,,"Private equity, industrial services",10000000,30000000,Acquisition of logistics firm (Feb 2026),Investment in robotics (Jan 2026),,,,Moderate; focuses on operational improvements.,Lumis Partners acquired a Midwest distribution company.,2026-02-28,Chicago Tribune,2026-03-18,Website,lumispartners.com,Operational focus on portfolio companies.,$1.5 Billion
Marella Family Office,,Italy,Rome,1985,Single-Family Office,Luca Marella,Principal,linkedin.com/in/lucamarella/,,"Diversified financial assets, luxury real estate",,,Purchase of historic Roman property (Jan 2026),Investment in Italian hospitality group (Oct 2025),,,,Low profile; focuses on heritage preservation.,Marella Family Office expanded real estate portfolio.,2025-11-30,Italian Press,2026-03-18,Web Search,,Italian industrial family background.,€1.8 Billion
Novus Capital,novuscapital.com,United States,New York,2012,Multi-Family Office,Steven G.,Partner,linkedin.com/in/steveng/,info@novuscapital.com,"Public equities, hedge fund allocation",10000000,,Allocation to multi-strategy hedge fund (Jan 2026),Real estate co-investment (Dec 2025),,,,Moderate; market commentary.,Novus Capital increased allocation to active equities.,2025-12-20,Institutional Investor,2026-03-18,Website,novuscapital.com,Focus on manager selection.,$4 Billion
Oaklyn Capital,oaklyncapital.com,United States,Boston,2017,Single-Family Office,Tom Oak,CEO,linkedin.com/in/tomoak/,,"Tech, biotech, venture",5000000,20000000,Series B investment in Biotech (Jan 2026),Seed investment in ClimateTech (Nov 2025),,,,Active; angel investor background.,Oaklyn Capital backed a new mRNA startup.,2026-01-15,BioSpace,2026-03-18,Website / LinkedIn,oaklyncapital.com,Single family office of a tech entrepreneur.,$800 Million
Praxis Family Office,praxis.com,Germany,Munich,1999,Multi-Family Office,Klaus F.,Managing Director,linkedin.com/in/klausf/,,"German Mittelstand, real estate",10000000,50000000,Acquisition of German auto supplier (Feb 2026),Real estate development in Munich (Oct 2025),,,,Moderate; focuses on succession planning.,Praxis Family Office facilitated a generational transfer.,2025-11-15,German Press,2026-03-18,Website,praxis.com,Focus on family business succession.,€2.2 Billion
Quattro Ventures,quattro.com,United States,Austin,2020,Single-Family Office,Alex Quad,Founder,linkedin.com/in/alexquad/,,"SaaS, Cloud, Enterprise IT",1000000,10000000,Seed investment in CloudOps (Jan 2026),Participation in Series A for FinTech (Dec 2025),,LiveOak Venture Partners,,Active; mentors startup founders.,Quattro Ventures invested in Texas startup ecosystem.,2026-01-28,Austin Business Journal,2026-03-18,LinkedIn,quattro.com,Active venture investor.,$400 Million
Rythmos Capital,rythmos.com,Greece,Athens,2016,Single-Family Office,Nikos Rythmos,Principal,linkedin.com/in/nikosrythmos/,,"Shipping, energy, Greek real estate",10000000,,Acquisition of cargo vessel (Dec 2025),Investment in Greek renewable energy (Jan 2026),,,,Low profile; shipping focus.,Rythmos Capital modernized shipping fleet.,2025-12-10,TradeWinds,2026-03-18,Web Search,rythmos.com,Greek shipping family office.,$900 Million
Solstice Partners,solsticepartners.com,United States,San Francisco,2009,Multi-Family Office,Diana Sol,Managing Partner,linkedin.com/in/dianasol/,,"Impact investing, renewable energy, real assets",10000000,50000000,Investment in US solar farm (Jan 2026),Acquisition of sustainable forestry (Nov 2025),,,,Highly active; ESG focused.,Solstice Partners committed to net-zero portfolio.,2025-12-01,Impact Alpha,2026-03-18,Website,solsticepartners.com,Dedicated to impact investing.,$1.5 Billion
Taranis Capital,taranis.com,Luxembourg,Luxembourg City,2011,Single-Family Office,Mark Taran,Managing Partner,linkedin.com/in/marktaran/,,"Private equity, debt, real estate",20000000,100000000,Acquisition of European logistics center (Jan 2026),Mezzanine financing for tech firm (Nov 2025),,,,Moderate; Luxembourg financial center focus.,Taranis Capital expanded real estate debt portfolio.,2025-11-20,Luxembourg Times,2026-03-18,Website,taranis.com,Luxembourg-based investment vehicle.,€3 Billion
Urania Investments,urania.com,Liechtenstein,Vaduz,2004,Single-Family Office,Heinrich U.,Director,linkedin.com/in/heinrichu/,,"Long-term value, global equities",5000000,,Strategic stake in German industrial firm (Jan 2026),Real estate in Vienna (Oct 2025),,,,Low profile; trust structure focus.,Urania Investments restructured portfolio for succession.,2025-12-15,Liechtenstein Press,2026-03-18,Web Search,urania.com,Private trust structure.,$1.2 Billion
Valhalla Ventures,valhalla.vc,United States,Menlo Park,2018,Multi-Family Office,Erik V.,Partner,linkedin.com/in/erikv/,info@valhalla.vc,"Deep tech, AI, Space",5000000,25000000,Investment in Space debris startup (Jan 2026),Series B in AI hardware (Dec 2025),,"Founders Fund, Khosla",,Highly active; tech-forward voice.,Valhalla Ventures launched a space tech initiative.,2026-01-22,TechCrunch,2026-03-18,Website,valhalla.vc,Tech-focused family office collective.,$1.5 Billion
Wren Investment Office,wren.io,United Kingdom,London,2015,Multi-Family Office,Oliver Wren,CEO,linkedin.com/in/oliverwren/,,"Long-only equities, private markets",5000000,20000000,Investment in UK infrastructure fund (Jan 2026),Private equity co-investment (Nov 2025),,,,Active; transparent reporting philosophy.,Wren Investment Office published 2025 Annual Review.,2026-02-10,Wealth Briefing,2026-03-18,Website,wren.io,Transparent fee structure.,£800 Million
Xylos Capital,xylos.com,United States,New York,2010,Single-Family Office,Peter X.,Founder,linkedin.com/in/peterx/,,"Quantitative strategies, systematic trading",,,Launch of systematic credit fund (Jan 2026),Investment in quant research (Oct 2025),,,,Low profile; quantitative focus.,Xylos Capital expanded systematic trading strategies.,2025-11-05,Hedge Fund Journal,2026-03-18,Web Search,xylos.com,Quant-focused family office.,$2 Billion
York Capital Partners,yorkcapital.com,United States,New York,1991,Multi-Family Office / Hedge Fund,James Dinan,CEO,linkedin.com/in/jamesdinan/,,"Multi-strategy, event-driven, credit",10000000,,Distressed credit opportunity (Feb 2026),Real estate restructuring (Jan 2026),,,,Moderate; focuses on market dislocations.,York Capital restructured private equity holdings.,2026-02-15,Institutional Investor,2026-03-18,Website,yorkcapital.com,Multi-strategy investment firm.,$12 Billion
Zeno Partners,zenopartners.com,Switzerland,Zurich,2008,Multi-Family Office,Felix Zeno,Partner,linkedin.com/in/felixzeno/,,European mid-market buyouts,20000000,75000000,Buyout of Swiss medtech firm (Jan 2026),Exit of German industrial asset (Dec 2025),,,,Moderate; deal flow focused.,Zeno Partners exited a successful portfolio company.,2025-12-30,Private Equity News,2026-03-18,Website,zenopartners.com,Focus on DACH region.,CHF 2.5 Billion
Alpha Dhabi Holding,alphadhabi.ae,UAE,Abu Dhabi,2013,Family-backed Conglomerate,Hamad Al Ameri,CEO,linkedin.com/in/hamadalameri/,,"Healthcare, industrials, petrochemicals",50000000,500000000,Acquisition of regional healthcare chain (Jan 2026),Investment in industrial city project (Nov 2025),,"ADIA, Mubadala",,Highly active; massive regional expansion.,Alpha Dhabi Holding reported record profits for 2025.,2026-02-10,Zawya,2026-03-18,Financial Reports,alphadhabi.ae,Listed entity backed by prominent local family.,$15 Billion
Beta Investment Group,betaig.com,Saudi Arabia,Riyadh,2017,Single-Family Office,Fahad Al-Beta,Managing Director,linkedin.com/in/fahadbeta/,,"PIF-related projects, local real estate",10000000,50000000,Partnership with PIF on tourism project (Feb 2026),Real estate development in Riyadh (Jan 2026),,Public Investment Fund (PIF),,Active; Vision 2030 alignment.,Beta Investment Group launched new hospitality fund.,2026-01-20,Arab News,2026-03-18,Website,betaig.com,Aligned with Saudi Vision 2030.,$2 Billion
Gamma Global Capital,gammaglobal.com,United States,Miami,2016,Multi-Family Office,Sophia Gamma,CEO,linkedin.com/in/sophiagamma/,,"LatAm cross-border, Fintech, Real Estate",10000000,30000000,Investment in Miami proptech (Jan 2026),Acquisition of Colombian logistics hub (Nov 2025),,SoftBank LatAm,,Highly active; Miami-LatAm bridge.,Gamma Global Capital moved HQ to Miami.,2025-11-01,Miami Herald,2026-03-18,Website,gammaglobal.com,Focus on Miami as LatAm gateway.,$1.2 Billion
AGI Partners,https://agi-llc.com/,USA,"New York City, NY",2007,Private Equity / Alternative Investment Management,Shaun Gordon,Founder & Managing Partner,https://hk.linkedin.com/company/vms-asset-management,,"Lower middle-market companies in business & tech-enabled services, healthcare, niche manufacturing, and media/telecommunications.",,,,,,,,,,,,,,,,$10 Billion
